code,name,old_code,old_name,hex
R48,Cherry Rose,R200,Coralessence,#fc2b50
R50,Orchid Wisp,R242,Grayish Cherry,#fde2ed
R513,Deep Wine,R290,Cardinal,#6e0514
R514,Prune Juice,R7,Old Red,#6b0312
R54,Lavender Fog,R250,Antique Fuchsia,#dda8be
R56,Puce,R270,Baby Blossoms,#ca8196
R57,Rose Dust,R280,Currant,#8f2c58
R59,Wine Berry,R240,Garnet,#8d1330
R612,Raisin,R340,Argyle Purple,#3d0913
R615,Black Grape,R350,Dark Purple Grey,#2b131a
R69,Dark Mauve,R282,Colocasia Tonorino,#631f2b
RV01,Water Lily,RV010,Water Lily,#fff0fa
RV04,Light Orchid,RV030,Light Hot Pink,#feddfd
RV05,Pink Pearl,RV280,Light Pink,#fbc1fb
RV08,Pastel Pink,R10,Pastel Pink,#fda3ed
RV09,Disco Pink,RV070,Sakura Pink,#fd6db3
RV111,Hot Pink,RP6,Vivid Pink,#fc236d
RV17,Pink,R22,Dark Blush,#fd90c0
RV18,Bubblegum,R14,Pale Purple,#fd97dc
RV19,Dahlia Pink,R15,Cerise,#fd79c2
RV212,Rich Raspberry,RP1,Vivid Reddish Purple,#f70d4e
RV23,Pink Wisp,RV130,Queen Pink,#fee5fc
RV25,Rosy Lilac,RV180,Hollyhock,#e478cd
RV28,Hibiscus Pink,RV200,Dark Orchid,#ec71a6
RV29,Plum Pink,RV320,Apricot Pink,#dc3c8c
RV310,Fuchsia,RV100,Red Onion,#fc2b92
RV311,Pansy,P2,Light Violet,#cd096a
RV314,Grape Juice,P1,Vivid Purple,#960441
RV316,Grape Jelly,R16,Deep Violet,#510330
RV33,Thistle,RV160,Thistle,#f1c4eb
RV34,Faded Lilac,V020,Pale Lilac,#eeb9ed
RV35,Bright Lilac,V150,Mallow,#e99de4
RV39,Bright Fuchsia,RV080,Bright Pink,#fd46b5
RV514,Violet Merlot,RV240,Bronze Purple,#650f3f
RV515,Ripe Mulberry,RV250,Peony,#58031e
RV57,Dark Lilac,V160,Deep Lilac,#b85e9b
V010,Faded Violet,P4,Lavender,#632e79
V013,Violet,V210,Signal Violet,#691674
V015,Deep Violet,V080,Dark Violet,#623063
V08,Light Violet,V050,Pearl Violet,#a66baa
V112,Vivid Violet,V070,Eggplant Purple,#91249b
V13,Greyed Lavender,R11,Mauve Shadow,#bf98c4
V14,Pale Purple,V030,Mauve,#b78fd5
V18,Bright Lavender,P3,Pastel Violet,#d88de8
V216,Morning Glory,R17,Pansy,#1e0264
V22,Lavender Wisp,V230,Viola,#d0ccfd
V29,Dull Violet,V060,Amethyst,#5b4785
